,company_id,mean_share_outstanding_2021,mean_share_outstanding_2022,mean_share_outstanding_2023,mean_eps_2021,mean_eps_2022,mean_eps_2023,mean_pe_ratio_2021,mean_pe_ratio_2022,mean_pe_ratio_2023,mean_price_to_sales_2021,mean_price_to_sales_2022,mean_price_to_sales_2023,mean_ebitda_2021,mean_ebitda_2022,mean_ebitda_2023,mean_return_on_assets_2021,mean_return_on_assets_2022,mean_return_on_assets_2023,mean_return_on_equity_2021,mean_return_on_equity_2022,mean_return_on_equity_2023,mean_return_on_capital_employed_2021,mean_return_on_capital_employed_2022,mean_return_on_capital_employed_2023,mean_interest_coverage_2021,mean_interest_coverage_2022,mean_interest_coverage_2023,cluster
29,29,16399999999.999998,16399999999.999998,16399999999.999998,55.205,44.645,54.39000000000001,-103.715,-20.3275,161.35999999999999,8.1775,6.625,5.466666666666666,1520070000000.0,1344930000000.0,1642280000000.0,0.026549999999999997,0.019249999999999996,0.021066666666666664,0.035625,0.02799999999999995,0.031633333333333326,0.04535,0.034675000000000004,0.041733333333333296,14.0275,12.117499999999998,7.113333333333334,2
30,30,18560000000.0,18560000000.0,18540000000.0,23.375,25.099999999999998,21.24,53.26,39.6625,48.449999999999996,7.845,7.8175,8.660000000000002,916812500000.0,851177500000.0,755360000000.0,0.010775,0.011324999999999998,0.009266666666666666,0.026500000000000003,0.0259,0.020599999999999997,0.027925,0.024900000000000002,0.021166666666666636,2.7775,2.9074999999999998,2.3000000000000003,0
31,31,48200000000.0,48200000000.0,48200000000.0,3.7075,6.3125,4.206666666666667,175.7475,36.38999999999999,366.8633333333334,75.8725,21.702499999999997,203.91666666666666,173175000000.0,301137500000.0,187793333333.33334,0.027524999999999973,0.045625,0.029066666666666668,0.031124999999999996,0.052575,0.0327,0.029099999999999997,0.050449999999999995,0.02843333333333337,11.334999999999999,22.0975,19.18,0
32,32,8620000000.0,8620000000.0,8620000000.0,0.11250000000000071,12.9475,12.97,-3.892500000000001,-113.14750000000001,-75.81333333333335,0.95,0.5225,0.47333333333333333,828655000000.0,1370980000000.0,1523250000000.0,-0.002899999999999976,0.004575,0.0046333333333333,-0.0017999999999999995,0.028950000000000004,0.028100000000000003,0.020475,0.02905,0.0325,1.5675,1.8325,1.5533333333333335,1
33,33,7300000000.0,7300000000.0,7300000000.0,3.725,12.947500000000002,18.566666666666666,456.745,26.057499999999997,19.116666666666667,1.085,0.735,0.8666666666666667,233865000000.0,279247500000.0,219533333333.33334,0.00375,0.011399999999999999,0.014666666666666666,0.007175000000000001,0.023575,0.031900000000000005,0.016724999999999976,0.024700000000000003,0.034499999999999996,3.3125,3.9099999999999997,6.536666666666666,1
34,34,12760000000.0,15950000000.0,15950000000.0,33.309999999999995,15.875,10.34,34.44,31.947499999999994,89.45666666666666,0.74,0.6275000000000001,0.54,531207500000.0,609580000000.0,610246666666.6666,0.02195,0.016200000000000003,0.0079333333333333,0.04345,0.038974999999999996,0.02386666666666666,0.064175,0.06014999999999998,0.04683333333333333,8.682500000000001,6.3075,3.026666666666667,2
35,35,15660000000.0,15660000000.0,17230000000.0,3.1850000000000005,34.557500000000005,2.9299999999999997,38.4225,30.814999999999998,420.43666666666667,5.9399999999999995,5.617500000000001,11.11,477742500000.0,1350822500000.0,336633333333.3333,0.0034249999999999997,0.04224999999999997,0.004166666666666667,0.01495,0.12090000000000001,0.0077333333333333325,0.028575,0.10865,0.015499999999999967,2.335,9.515,2.2433333333333336,0
36,36,10720000000.0,11322500000.0,13130000000.0,30.02,25.314999999999998,25.66,94.03,138.5,91.08999999999999,4.38,3.8125,3.473333333333333,3487415000000.0,3650915000000.0,2612186666666.6665,0.004725,0.003525,0.004,0.016375,0.0133,0.013033333333333334,0.020425,0.01849999999999995,0.019033333333333333,1.6775,1.475,1.5899999999999999,1
37,37,2480000000.0,2480000000.0,2480000000.0,62.292500000000004,12.097500000000004,-58.669999999999995,127.685,126.72250000000003,-117.46,6.365,6.0775,7.706666666666666,350672500000.0,234255000000.0,17340000000.0,0.01195,0.0018999999999999998,-0.011500000000000002,0.03205,0.005824999999999999,-0.0313,0.03322499999999998,0.015225000000000002,-0.013766666666666668,5.1075,2.3825,-1.2366666666666666,1
38,38,1920000000.0,1920000000.0,1920000000.0,728.3050000000001,361.175,772.1700000000001,66.25,-82.94750000000002,35.36333333333334,2.2199999999999998,1.6075000000000002,1.8466666666666667,2560397500000.0,1722677500000.0,2820883333333.3335,0.016799999999999975,0.007949999999999974,0.017299999999999965,0.023674999999999977,0.01185,0.024933333333333297,0.02975,0.0163,0.0339333333333333,156.11,16.1275,13.853333333333333,2
